window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_23475,exact_data/anomaly/window_23475.csv,0.8161798827528546,E1 EGT1__std,2.615442625213262,E1 EGT1__min,1.5949707467280823,E1 RPM__max,1.4339074243955419
window_7175,exact_data/anomaly/window_7175.csv,0.8156531610079704,E1 FFlow__min,2.101255436988786,E1 FFlow__mean,1.7527552793903631,E1 EGT1__max,1.6097955595108675
window_8250,exact_data/anomaly/window_8250.csv,0.8144879904227708,NormAc__max,3.4195339660304342,NormAc__std,2.2486572847800086,AltMSL__min,1.4046144186653537
window_24175,exact_data/anomaly/window_24175.csv,0.8098884379637329,E1 FFlow__min,2.4892100424613846,E1 FFlow__mean,2.222076519831034,E1 CHT1__std,1.9892783432193037
window_3050,exact_data/anomaly/window_3050.csv,0.8088038201548784,NormAc__mean,3.891599960092529,NormAc__max,1.8944883518919249,AltMSL__min,1.6943774145257093
window_10125,exact_data/anomaly/window_10125.csv,0.8023754885604836,AltMSL__std,2.0220164106465823,E1 FFlow__min,1.99273666622722,E1 FFlow__mean,1.7022080701268147
window_3250,exact_data/anomaly/window_3250.csv,0.7949814880076935,NormAc__mean,3.324063580573348,NormAc__max,2.305077555698447,NormAc__std,1.8165298305188096
window_24775,exact_data/anomaly/window_24775.csv,0.7683213420878234,E1 FFlow__min,2.4702192575781106,E1 FFlow__mean,2.19530995965139,E1 EGT1__max,1.2018246294726704
window_3125,exact_data/anomaly/window_3125.csv,0.758467075257167,NormAc__std,2.4152485521385882,NormAc__max,1.835832751348136,NormAc__mean,1.8274152249058284
window_10975,exact_data/anomaly/window_10975.csv,0.7493603616210047,AltMSL__std,1.7766896239306997,NormAc__min,1.4524212071668765,AltMSL__max,1.3701875113503768
window_9150,exact_data/anomaly/window_9150.csv,0.7394678847234589,E1 CHT1__max,2.5376410856277705,E1 CHT1__mean,2.372163160867734,E1 CHT1__min,2.2275788347220127
window_10150,exact_data/anomaly/window_10150.csv,0.7270525163844984,AltMSL__std,1.4481405859342311,AltMSL__max,1.413891547877272,AltMSL__mean,1.4027462816315182
window_7275,exact_data/anomaly/window_7275.csv,0.7208421000259575,AltMSL__min,1.427377243700982,AltMSL__mean,1.3875389916804908,AltMSL__max,1.3509182681539238
window_9125,exact_data/anomaly/window_9125.csv,0.7146688973232661,E1 CHT1__min,2.198783652144504,E1 CHT1__mean,2.1730143910412374,E1 CHT1__max,2.1232333548603273
window_10950,exact_data/anomaly/window_10950.csv,0.7130234955498563,NormAc__min,1.4524212071668765,AltMSL__min,1.4280344381245824,AltMSL__mean,1.3968855672592044
window_9225,exact_data/anomaly/window_9225.csv,0.7097840324447879,NormAc__min,1.8718704350986899,E1 CHT1__min,1.8550044315762926,E1 CHT1__mean,1.7993548459641224
window_3225,exact_data/anomaly/window_3225.csv,0.704542003916445,NormAc__mean,2.445297573575905,NormAc__std,2.1376401952116058,NormAc__max,1.835832751348136
window_1825,exact_data/anomaly/window_1825.csv,0.7008559984544145,E1 CHT1__min,1.765842863348554,E1 CHT1__mean,1.7514031680955726,E1 CHT1__max,1.730289400449611
window_1625,exact_data/anomaly/window_1625.csv,0.6794514931249579,NormAc__min,2.3752095086168663,NormAc__std,1.5851230152391986,E1 RPM__max,1.2232538857937938
window_9000,exact_data/anomaly/window_9000.csv,0.6790123727086907,NormAc__min,2.7107688909623167,AltMSL__min,1.4496621091558088,AltMSL__mean,1.4052504584846832
window_12450,exact_data/anomaly/window_12450.csv,0.6703567656878766,IAS__max,1.3082251961617322,E1 CHT1__min,1.2775000731055046,E1 CHT1__mean,1.269087861748112
window_11075,exact_data/anomaly/window_11075.csv,0.6644990643819767,E1 CHT1__std,2.307145966954597,AltMSL__std,2.001918118827014,E1 CHT1__min,1.7271890803393928
window_12475,exact_data/anomaly/window_12475.csv,0.6603817279019488,IAS__max,1.2077078932456353,E1 CHT1__max,1.148242014066056,E1 CHT1__mean,1.1062846445384327
window_7200,exact_data/anomaly/window_7200.csv,0.6584325525724671,E1 FFlow__mean,1.4682406078394195,E1 CHT1__min,1.36535476280627,E1 FFlow__min,1.363327795810137
window_10175,exact_data/anomaly/window_10175.csv,0.653795660211599,AltMSL__max,1.413891547877272,AltMSL__mean,1.4125866385615613,AltMSL__min,1.3801189901493238
window_16525,exact_data/anomaly/window_16525.csv,0.6341081393175227,E1 RPM__max,3.211942548428174,E1 FFlow__max,2.103664154741436,E1 FFlow__mean,1.7507848327291053
window_1925,exact_data/anomaly/window_1925.csv,0.6293386016992382,AltMSL__min,1.699515480019316,AltMSL__mean,1.6696860477194495,AltMSL__max,1.620107274012807
window_5650,exact_data/anomaly/window_5650.csv,0.6173070133914312,NormAc__min,1.4524212071668765,E1 CHT1__min,1.3627103072634368,E1 CHT1__mean,1.3422701230981855
window_12500,exact_data/anomaly/window_12500.csv,0.6165665183420765,NormAc__std,1.1624352104958162,IAS__max,1.1496504855268561,IAS__mean,1.0575129412182296
window_13150,exact_data/anomaly/window_13150.csv,0.5686187081686529,NormAc__min,2.123539971857778,E1 CHT1__mean,1.4177967086470593,E1 CHT1__max,1.399192678085512
window_24950,exact_data/anomaly/window_24950.csv,0.568514998990796,E1 CHT1__max,1.3615447102044682,E1 CHT1__mean,1.3310737683621219,E1 CHT1__min,1.2927791495752023
window_11500,exact_data/anomaly/window_11500.csv,0.5594237429046132,E1 EGT1__max,1.3265985665533713,E1 EGT1__mean,1.2213361026070197,IAS__max,1.13925214384588
window_4325,exact_data/anomaly/window_4325.csv,0.5519495275894652,IAS__max,1.419574104995511,NormAc__std,1.3627765953507855,IAS__mean,1.1863150312813713
window_23625,exact_data/anomaly/window_23625.csv,0.5431862064364876,E1 EGT1__max,1.2727837751712343,NormAc__min,1.2320538515967299,anomaly_flag__std,1.0
window_4825,exact_data/anomaly/window_4825.csv,0.5412369567430971,E1 CHT1__std,1.626538035221789,E1 FFlow__mean,1.3940193891739554,E1 FFlow__min,1.167994008439318
window_9975,exact_data/anomaly/window_9975.csv,0.5410936856088117,E1 CHT1__min,1.3959129157456656,E1 CHT1__mean,1.3869553061003235,E1 CHT1__max,1.36779992123492
window_15825,exact_data/anomaly/window_15825.csv,0.5257457147435449,E1 RPM__max,1.475885458531456,E1 FFlow__mean,1.384264245727382,E1 FFlow__max,1.1288296164542158
window_5175,exact_data/anomaly/window_5175.csv,0.48136083246961503,E1 CHT1__std,1.2150673285573814,E1 CHT1__max,1.005623202571751,anomaly_flag__std,1.0
window_4450,exact_data/anomaly/window_4450.csv,0.45706233712998195,E1 FFlow__max,1.0912326921125597,anomaly_flag__std,1.0,IAS__max,0.9260861393858825
window_4850,exact_data/anomaly/window_4850.csv,0.44367656258471305,anomaly_flag__std,1.0,E1 CHT1__max,0.9759109501771027,E1 CHT1__mean,0.9198959101452513
window_19075,exact_data/anomaly/window_19075.csv,0.4390918986899132,E1 RPM__max,1.2983231991979387,E1 FFlow__max,1.096603681304225,anomaly_flag__std,1.0
window_24925,exact_data/anomaly/window_24925.csv,0.43410718575309837,E1 CHT1__min,1.4673132154021404,E1 CHT1__mean,1.4193916569740221,E1 CHT1__max,1.3743678928168936
window_19625,exact_data/anomaly/window_19625.csv,0.4199658705586534,E1 RPM__max,1.3253435430095604,E1 FFlow__max,1.0187243380250806,anomaly_flag__std,1.0
window_12150,exact_data/anomaly/window_12150.csv,0.41984704512250454,E1 RPM__max,1.023777205826278,anomaly_flag__std,1.0,E1 FFlow__max,0.9032480704042802
window_16425,exact_data/anomaly/window_16425.csv,0.36921531425599724,E1 CHT1__std,1.8574128579436913,E1 FFlow__max,1.054477489957658,anomaly_flag__std,1.0
